The results presented in the following table A are from the article entitled "Nuclear landscape in a mapped collective Hamiltonian from covariant density functional theory", published by Y. L. Yang, Y. K. Wang, P. W. Zhao, and Z. P. Li in Physical Review C.

Table A: The ground-state properties of nuclei calculated by the triaxial relativistic Hartree-Bogoliubov (RHB) theory using the density functional PC-PK1 with the dynamical correlation energies being considered by a microscopically mapped five-dimensional collective Hamiltonian. The hash symbols “####” indicate that the related separation energies cannot be derived from this database.  
                               																	
The explanation of entries in Table A are listed below:																	
Elt.		Element symbol															
Z		Proton number															
N		Neutron number															
beta		Quadrupole deformation															
gamma		Triaxial deformation (degree)															
B_RHB		Binding energy without dynamical correlation energies (MeV)															
B_5DCH		Binding energy with dynamical correlation energies (MeV)															
E_corr		Dynamical correlation energies (MeV)															
S_2n		Two-neutron separation energies with dynamical correlation energies (MeV)															
S_2p		Two-proton separation energies with dynamical correlation energies (MeV)															
lamb_n		Neutron Fermi surface (MeV)															
lamb_p		Proton Fermi surface (MeV)															
R_m		Matter root-mean-square radius (fm)															
R_n		Neutron root-mean-square radius (fm)															
R_p		Proton root-mean-square radius (fm)															
R_c		Charge radius (fm)

References
----------
[1] Y. L. Yang, Y. K. Wang, P. W. Zhao, and Z. P. Li, Physical Review C 104, 054312 (2021)	
[2] Y. L. Yang, P. W. Zhao, and Z. P. Li, Physical Review C 107, 024308 (2023)			

PS: The following results can be copied to Excel or text files. We are going to provide a Fortran format in the future.																				
																	
Elt.	Z	N	beta	gamma	B_RHB	B_5DCH	E_corr	S_2n	S_2p	lamb_n	lamb_p	R_m	R_n	R_p	R_c		
O	8	6	0.00 	0	98.63 	98.63 	0.00 	####	####	-16.98 	-2.50 	2.553 	2.422 	2.648 	2.766 		
	8	8	0.00 	0	127.19 	127.19 	0.00 	28.56 	####	-11.22 	-9.71 	2.636 	2.625 	2.647 	2.766 		
	8	10	0.00 	0	140.58 	140.58 	0.00 	13.39 	####	-6.45 	-10.69 	2.735 	2.809 	2.640 	2.759 		
	8	12	0.00 	0	152.39 	152.39 	0.00 	11.81 	####	-5.66 	-14.01 	2.836 	2.958 	2.643 	2.761 		
	8	14	0.00 	0	162.63 	162.63 	0.00 	10.24 	####	-4.83 	-17.34 	2.942 	3.096 	2.652 	2.770 		
	8	16	0.00 	0	170.87 	170.87 	0.00 	8.24 	####	-3.15 	-19.26 	3.062 	3.243 	2.661 	2.779 		
	8	18	0.00 	0	174.74 	174.74 	0.00 	3.87 	####	-2.01 	-20.95 	3.215 	3.407 	2.734 	2.849 		
	8	20	0.00 	0	177.87 	177.87 	0.00 	3.13 	####	-0.39 	-24.54 	3.342 	3.537 	2.797 	2.909 		
Ne	10	8	0.00 	0	132.74 	132.74 	0.00 	####	5.55 	-14.00 	-2.26 	2.755 	2.628 	2.852 	2.962 		
	10	10	0.49 	0	155.38 	157.29 	1.91 	24.55 	16.71 	-11.29 	-7.06 	2.867 	2.853 	2.881 	2.990 		
	10	12	0.48 	0	175.56 	177.61 	2.05 	20.32 	25.22 	-8.27 	-11.37 	2.903 	2.953 	2.842 	2.953 		
	10	14	0.23 	60	189.96 	193.43 	3.47 	15.82 	30.80 	-7.15 	-13.01 	2.921 	3.014 	2.786 	2.899 		
	10	16	0.00 	0	201.74 	203.36 	1.62 	9.93 	32.49 	-5.10 	-14.42 	3.023 	3.161 	2.789 	2.901 		
	10	18	0.00 	0	209.55 	210.98 	1.43 	7.62 	36.24 	-3.99 	-16.44 	3.163 	3.318 	2.864 	2.974 		
	10	20	0.00 	0	216.62 	216.97 	0.35 	5.99 	39.10 	-2.03 	-18.45 	3.280 	3.444 	2.925 	3.032 		
	10	22	0.30 	0	217.83 	220.68 	2.85 	3.71 	####	-1.38 	-20.55 	3.432 	3.617 	2.985 	3.090 		
	10	24	0.44 	0	219.93 	221.84 	1.91 	1.16 	####	-0.71 	-22.80 	3.565 	3.760 	3.047 	3.151 		
	10	26	0.43 	0	220.40 	222.59 	2.19 	0.75 	####	-0.17 	-24.08 	3.679 	3.888 	3.071 	3.173 		
Mg	12	8	0.00 	0	135.44 	135.44 	0.00 	####	2.70 	-18.56 	-0.88 	2.878 	2.639 	3.027 	3.131 		
	12	10	0.49 	0	166.18 	167.85 	1.67 	32.41 	10.56 	-15.54 	-3.32 	2.925 	2.831 	3.001 	3.106 		
	12	12	0.51 	0	193.36 	194.03 	0.67 	26.18 	16.42 	-11.40 	-6.57 	2.979 	2.963 	2.995 	3.100 		
	12	14	0.26 	60	214.28 	219.22 	4.94 	25.19 	25.79 	-8.97 	-9.32 	3.022 	3.059 	2.978 	3.084 		
	12	16	0.00 	0	229.15 	232.67 	3.52 	13.45 	29.31 	-7.02 	-12.70 	3.007 	3.099 	2.879 	2.989 		
	12	18	0.08 	0	241.15 	244.80 	3.65 	12.13 	33.82 	-5.99 	-14.79 	3.139 	3.254 	2.957 	3.064 		
	12	20	0.00 	0	252.30 	253.08 	0.78 	8.28 	36.11 	-3.89 	-16.85 	3.242 	3.372 	3.012 	3.116 		
	12	22	0.36 	0	257.53 	260.67 	3.14 	7.59 	39.99 	-3.60 	-18.13 	3.385 	3.538 	3.083 	3.185 		
	12	24	0.43 	0	263.67 	266.57 	2.90 	5.90 	44.73 	-2.48 	-19.68 	3.490 	3.656 	3.132 	3.232 		
	12	26	0.44 	0	267.38 	270.45 	3.07 	3.88 	47.86 	-1.67 	-21.35 	3.592 	3.775 	3.160 	3.259 		
	12	28	0.44 	0	269.85 	272.94 	3.09 	2.49 	####	-0.88 	-22.76 	3.687 	3.881 	3.187 	3.285 		
	12	30	0.38 	0	270.67 	274.16 	3.49 	1.22 	####	-0.40 	-23.64 	3.783 	3.992 	3.201 	3.299 		
	12	32	0.28 	0	271.07 	274.77 	3.70 	0.61 	####	-0.28 	-24.59 	3.862 	4.081 	3.204 	3.303 		
	12	34	0.00 	0	271.72 	####	####	####	####	-0.31 	-26.00 	3.903 	4.131 	3.167 	3.266 		
Si	14	10	0.26 	0	169.71 	173.23 	3.52 	####	5.38 	-16.87 	-1.38 	2.981 	2.801 	3.103 	3.205 		
	14	12	0.27 	60	203.30 	207.45 	4.15 	34.22 	13.42 	-15.95 	-3.96 	2.955 	2.876 	3.021 	3.125 		
	14	14	0.24 	60	235.10 	238.30 	3.20 	30.85 	19.08 	-12.90 	-8.01 	2.899 	2.885 	2.914 	3.021 		
	14	16	0.06 	15	253.40 	256.71 	3.31 	18.41 	24.04 	-8.78 	-10.07 	2.984 	3.033 	2.927 	3.035 		
	14	18	0.13 	60	269.37 	272.54 	3.17 	15.83 	27.74 	-7.93 	-11.97 	3.128 	3.204 	3.028 	3.132 		
	14	20	0.00 	0	284.66 	284.66 	0.00 	12.12 	31.58 	-6.01 	-14.27 	3.212 	3.310 	3.067 	3.170 		
	14	22	0.10 	0	292.44 	295.87 	3.43 	11.21 	35.20 	-3.96 	-16.03 	3.298 	3.422 	3.094 	3.195 		
	14	24	0.29 	0	300.22 	304.69 	4.47 	8.82 	38.12 	-3.83 	-17.30 	3.422 	3.564 	3.164 	3.264 		
	14	26	0.31 	60	307.75 	311.57 	3.82 	6.88 	41.12 	-3.77 	-19.03 	3.521 	3.683 	3.199 	3.298 		
	14	28	0.37 	60	314.83 	317.11 	2.28 	5.54 	44.17 	-2.63 	-20.51 	3.623 	3.797 	3.247 	3.344 		
	14	30	0.32 	60	318.04 	320.65 	2.61 	3.54 	46.49 	-1.60 	-21.83 	3.698 	3.890 	3.251 	3.348 		
	14	32	0.26 	60	320.68 	323.16 	2.48 	2.51 	48.39 	-1.19 	-22.89 	3.766 	3.971 	3.252 	3.349 		
	14	34	0.00 	0	323.49 	324.59 	1.10 	1.43 	####	-1.01 	-24.22 	3.800 	4.023 	3.194 	3.293 		
	14	36	0.00 	0	324.04 	325.51 	1.47 	0.92 	####	-0.35 	-25.00 	3.904 	4.127 	3.261 	3.358 		
	14	38	0.00 	0	324.33 	####	####	####	####	-0.17 	-25.80 	3.997 	4.218 	3.323 	3.418 		
S	16	12	0.22 	0	206.81 	210.56 	3.75 	####	3.11 	-17.42 	-1.24 	3.071 	2.908 	3.188 	3.287 		
	16	14	0.00 	0	241.59 	244.93 	3.34 	34.37 	6.63 	-15.46 	-2.71 	3.007 	2.910 	3.090 	3.192 		
	16	16	0.00 	0	266.72 	270.66 	3.94 	25.73 	13.95 	-12.44 	-6.31 	3.098 	3.077 	3.118 	3.219 		
	16	18	0.00 	0	289.03 	291.77 	2.74 	21.11 	19.23 	-9.97 	-8.81 	3.171 	3.198 	3.141 	3.242 		
